event_id,user_id,course_id,skill_id,event_type,completion_pct,score,occurred_at
evt_000037,user_0010,course_023,cloud_aws_basics,completed,88.7,43.2,2026-02-18
evt_000038,user_0010,course_025,data_wrangling,completed,88.1,49.0,2026-02-04
evt_000039,user_0011,course_001,python_basics,completed,87.2,43.4,2026-01-27
evt_000040,user_0011,course_013,statistics,completed,85.4,36.0,2026-01-01
evt_000041,user_0011,course_025,data_wrangling,completed,87.6,38.4,2026-02-11
evt_000042,user_0011,course_035,data_visualization,dropped,20.7,,2026-02-23
evt_000043,user_0011,course_037,machine_learning,completed,99.2,37.8,2026-02-03
evt_000044,user_0013,course_002,python_basics,completed,85.9,66.1,2026-02-26
evt_000045,user_0013,course_005,sql_basics,completed,91.7,93.5,2026-03-06
evt_000046,user_0013,course_015,rest_apis,dropped,26.9,,2026-03-08
evt_000047,user_0013,course_018,databases_basics,completed,93.0,64.5,2026-03-15
evt_000048,user_0013,course_031,system_design,completed,97.8,77.3,2026-03-28
evt_000049,user_0013,course_033,backend_frameworks,completed,88.4,57.0,2026-04-07
evt_000050,user_0014,course_001,python_basics,completed,95.0,59.3,2026-02-08
evt_000051,user_0014,course_014,statistics,dropped,8.0,,2026-02-10
evt_000052,user_0014,course_026,data_wrangling,dropped,7.1,,2026-02-23
evt_000053,user_0015,course_001,python_basics,completed,95.0,83.8,2026-02-15
evt_000054,user_0016,course_008,html_css_basics,completed,86.6,68.0,2026-02-01
evt_000055,user_0016,course_020,javascript_basics,completed,90.3,71.2,2026-03-05
evt_000056,user_0016,course_030,react_basics,completed,91.4,71.5,2026-03-15
evt_000057,user_0016,course_039,state_management,completed,97.4,52.4,2026-03-25
evt_000058,user_0016,course_042,frontend_testing,completed,87.7,44.3,2026-03-03
evt_000059,user_0017,course_001,python_basics,completed,85.5,83.5,2026-02-27
evt_000060,user_0017,course_010,docker_basics,completed,90.6,81.9,2026-03-07
evt_000061,user_0017,course_013,statistics,completed,96.3,38.2,2026-03-08
evt_000062,user_0017,course_024,cloud_aws_basics,completed,94.1,61.9,2026-03-19
evt_000063,user_0017,course_025,data_wrangling,completed,89.2,79.1,2026-03-25
evt_000064,user_0017,course_038,machine_learning,completed,99.8,38.6,2026-03-26
evt_000065,user_0017,course_047,mlops_basics,dropped,13.9,,2026-04-11
evt_000066,user_0018,course_008,html_css_basics,completed,86.9,69.6,2026-02-05
evt_000067,user_0018,course_020,javascript_basics,completed,96.1,63.4,2026-02-07
evt_000068,user_0018,course_029,react_basics,completed,91.4,61.3,2026-02-21
evt_000069,user_0018,course_040,state_management,completed,99.5,46.2,2026-02-23
evt_000070,user_0019,course_002,python_basics,completed,86.6,63.3,2026-02-04
evt_000071,user_0019,course_005,sql_basics,completed,96.2,49.4,2026-02-11
evt_000072,user_0019,course_015,rest_apis,completed,93.0,47.6,2026-02-20
evt_000073,user_0019,course_018,databases_basics,completed,94.7,44.6,2026-02-04
evt_000074,user_0019,course_032,system_design,completed,87.3,84.3,2026-03-08
evt_000075,user_0019,course_034,backend_frameworks,completed,96.4,64.2,2026-03-16
evt_000076,user_0021,course_002,python_basics,completed,89.7,63.6,2026-02-28
evt_000077,user_0021,course_010,docker_basics,completed,85.8,68.0,2026-03-13
evt_000078,user_0021,course_014,statistics,dropped,34.1,,2026-03-14
evt_000079,user_0021,course_023,cloud_aws_basics,completed,90.8,72.7,2026-03-24
evt_000080,user_0024,course_008,html_css_basics,completed,87.3,39.0,2026-02-19
evt_000081,user_0024,course_020,javascript_basics,dropped,27.6,,2026-02-03
evt_000082,user_0024,course_030,react_basics,completed,94.1,58.7,2026-03-11
evt_000083,user_0025,course_002,python_basics,completed,96.8,77.1,2026-02-08
evt_000084,user_0025,course_009,docker_basics,completed,89.3,82.0,2026-02-17
evt_000085,user_0025,course_013,statistics,dropped,28.2,,2026-02-23
evt_000086,user_0027,course_001,python_basics,completed,86.3,71.3,2026-02-27
evt_000087,user_0027,course_010,docker_basics,dropped,29.6,,2026-03-13
evt_000088,user_0029,course_002,python_basics,completed,90.4,46.7,2026-01-15
evt_000089,user_0029,course_014,statistics,completed,87.1,40.0,2026-01-19
evt_000090,user_0029,course_025,data_wrangling,completed,97.5,92.4,2026-01-28
evt_000091,user_0029,course_036,data_visualization,completed,94.0,45.0,2026-02-13
evt_000092,user_0029,course_037,machine_learning,completed,91.2,79.0,2026-02-25
evt_000093,user_0031,course_002,python_basics,completed,89.6,87.6,2026-02-16
evt_000094,user_0031,course_009,docker_basics,completed,93.6,63.6,2026-02-22
evt_000095,user_0031,course_014,statistics,completed,99.5,88.1,2026-02-03
evt_000096,user_0031,course_023,cloud_aws_basics,completed,94.6,91.8,2026-03-17
evt_000097,user_0031,course_025,data_wrangling,completed,97.8,53.5,2026-03-01
evt_000098,user_0031,course_038,machine_learning,completed,87.2,63.4,2026-04-09
evt_000099,user_0032,course_008,html_css_basics,completed,90.9,59.3,2026-01-16
evt_000100,user_0032,course_019,javascript_basics,completed,89.8,41.4,2026-01-22
evt_000101,user_0032,course_030,react_basics,dropped,6.3,,2026-02-07
evt_000102,user_0033,course_001,python_basics,completed,91.7,35.3,2026-02-16
evt_000103,user_0033,course_010,docker_basics,completed,93.2,82.3,2026-02-20
evt_000104,user_0033,course_013,statistics,completed,89.5,38.1,2026-03-05
evt_000105,user_0033,course_024,cloud_aws_basics,dropped,36.7,,2026-03-07
evt_000106,user_0033,course_025,data_wrangling,completed,88.6,44.3,2026-03-18
evt_000107,user_0033,course_038,machine_learning,completed,87.8,78.4,2026-03-22
evt_000108,user_0033,course_048,mlops_basics,completed,93.2,86.1,2026-03-24
evt_000109,user_0034,course_008,html_css_basics,completed,94.5,98.8,2026-02-19
evt_000110,user_0034,course_019,javascript_basics,completed,90.2,82.6,2026-02-25
evt_000111,user_0034,course_030,react_basics,dropped,24.1,,2026-02-28
evt_000112,user_0034,course_039,state_management,completed,92.0,80.2,2026-03-14
evt_000113,user_0034,course_041,frontend_testing,completed,99.2,37.4,2026-03-16
evt_000114,user_0035,course_007,html_css_basics,completed,89.7,60.9,2026-01-14
evt_000115,user_0035,course_020,javascript_basics,dropped,27.6,,2026-01-19
evt_000116,user_0035,course_029,react_basics,completed,89.1,87.0,2026-02-05
evt_000117,user_0035,course_040,state_management,completed,99.3,57.0,2026-02-17
evt_000118,user_0035,course_042,frontend_testing,completed,92.8,87.1,2026-02-23
evt_000119,user_0036,course_002,python_basics,completed,87.7,54.1,2026-02-01
evt_000120,user_0036,course_014,statistics,completed,91.7,81.6,2026-03-12
evt_000121,user_0036,course_026,data_wrangling,completed,95.9,94.3,2026-03-18
evt_000122,user_0036,course_036,data_visualization,completed,96.9,38.7,2026-03-23
evt_000123,user_0036,course_038,machine_learning,completed,96.2,45.4,2026-03-01
evt_000124,user_0037,course_002,python_basics,dropped,13.3,,2026-01-03
evt_000125,user_0037,course_006,sql_basics,completed,85.5,45.0,2026-01-10
evt_000126,user_0037,course_016,rest_apis,completed,86.2,44.0,2026-01-16
evt_000127,user_0037,course_018,databases_basics,completed,99.4,36.7,2026-01-27
evt_000128,user_0037,course_032,system_design,dropped,32.1,,2026-02-08
evt_000129,user_0037,course_033,backend_frameworks,completed,98.7,66.9,2026-02-18
evt_000130,user_0038,course_007,html_css_basics,completed,95.7,99.8,2026-01-16
evt_000131,user_0038,course_020,javascript_basics,completed,86.0,70.2,2026-01-27
evt_000132,user_0039,course_001,python_basics,completed,88.4,99.0,2026-03-12
evt_000133,user_0039,course_013,statistics,completed,90.4,72.2,2026-03-25
evt_000134,user_0039,course_025,data_wrangling,completed,86.0,60.9,2026-04-07
evt_000135,user_0039,course_036,data_visualization,completed,91.1,72.4,2026-04-16
evt_000136,user_0039,course_038,machine_learning,dropped,21.3,,2026-04-27
evt_000137,user_0040,course_001,python_basics,completed,91.5,94.2,2026-02-19
evt_000138,user_0040,course_005,sql_basics,completed,87.5,56.0,2026-02-28
evt_000139,user_0040,course_016,rest_apis,completed,97.7,51.3,2026-03-09
evt_000140,user_0040,course_018,databases_basics,completed,94.2,41.1,2026-03-12
evt_000141,user_0040,course_031,system_design,completed,95.8,74.3,2026-03-15
evt_000142,user_0040,course_033,backend_frameworks,completed,86.2,96.7,2026-03-01
evt_000143,user_0041,course_001,python_basics,completed,94.3,37.0,2026-03-07
evt_000144,user_0042,course_008,html_css_basics,completed,97.1,61.4,2026-02-15
evt_000145,user_0042,course_019,javascript_basics,completed,92.3,48.3,2026-02-18
evt_000146,user_0042,course_030,react_basics,completed,96.0,91.0,2026-02-04
evt_000147,user_0043,course_001,python_basics,completed,86.8,64.2,2026-01-15
evt_000148,user_0043,course_009,docker_basics,completed,98.0,62.2,2026-01-20
evt_000149,user_0044,course_002,python_basics,completed,87.8,45.4,2026-03-12
evt_000150,user_0045,course_002,python_basics,dropped,38.1,,2026-02-10
evt_000151,user_0045,course_013,statistics,completed,85.7,53.3,2026-02-14
evt_000152,user_0045,course_026,data_wrangling,completed,97.7,63.0,2026-02-19
evt_000153,user_0046,course_002,python_basics,dropped,6.8,,2026-02-25
evt_000154,user_0046,course_014,statistics,completed,90.8,64.3,2026-03-06
evt_000155,user_0046,course_025,data_wrangling,completed,90.9,86.7,2026-03-09
evt_000156,user_0046,course_036,data_visualization,dropped,26.1,,2026-03-22
evt_000157,user_0046,course_037,machine_learning,dropped,30.0,,2026-03-23
evt_000158,user_0047,course_002,python_basics,completed,92.7,56.3,2026-02-27
evt_000159,user_0047,course_009,docker_basics,completed,96.1,54.5,2026-03-06
evt_000160,user_0047,course_014,statistics,completed,92.1,36.1,2026-03-18
evt_000161,user_0047,course_023,cloud_aws_basics,completed,97.0,82.1,2026-03-25
evt_000162,user_0047,course_025,data_wrangling,completed,99.5,85.9,2026-04-07
evt_000163,user_0047,course_037,machine_learning,dropped,21.8,,2026-04-19
evt_000164,user_0047,course_048,mlops_basics,completed,88.6,72.2,2026-04-22
evt_000165,user_0048,course_007,html_css_basics,completed,87.3,79.9,2026-02-25
evt_000166,user_0048,course_020,javascript_basics,completed,95.9,80.9,2026-03-11
evt_000167,user_0048,course_030,react_basics,completed,90.7,97.2,2026-03-22
evt_000168,user_0048,course_040,state_management,completed,96.6,81.9,2026-03-03
evt_000169,user_0048,course_042,frontend_testing,completed,99.4,53.1,2026-04-13
evt_000170,user_0049,course_002,python_basics,completed,88.1,80.8,2026-02-05
evt_000171,user_0049,course_014,statistics,completed,96.9,52.8,2026-02-14
evt_000172,user_0049,course_026,data_wrangling,completed,99.3,87.3,2026-02-21
evt_000173,user_0049,course_036,data_visualization,dropped,37.3,,2026-03-05
evt_000174,user_0049,course_038,machine_learning,completed,93.1,95.6,2026-03-09
evt_000175,user_0050,course_001,python_basics,completed,88.6,38.3,2026-02-27
evt_000176,user_0051,course_007,html_css_basics,completed,95.8,41.5,2026-01-17
evt_000177,user_0051,course_019,javascript_basics,completed,87.4,77.4,2026-01-26
evt_000178,user_0052,course_007,html_css_basics,completed,89.8,77.0,2026-02-16
evt_000179,user_0053,course_001,python_basics,completed,97.8,37.4,2026-01-15
evt_000180,user_0057,course_001,python_basics,completed,98.9,92.0,2026-02-10
evt_000181,user_0057,course_009,docker_basics,completed,99.8,70.3,2026-02-16
evt_000182,user_0057,course_013,statistics,completed,89.1,87.6,2026-02-02
evt_000183,user_0057,course_024,cloud_aws_basics,completed,87.8,82.9,2026-03-13
evt_000184,user_0057,course_025,data_wrangling,completed,94.6,61.4,2026-03-16
evt_000185,user_0057,course_038,machine_learning,completed,86.4,98.8,2026-03-18
evt_000186,user_0057,course_047,mlops_basics,completed,88.5,84.0,2026-03-19
evt_000187,user_0058,course_001,python_basics,completed,95.4,39.0,2026-01-27
evt_000188,user_0058,course_014,statistics,completed,92.5,93.2,2026-01-02
evt_000189,user_0058,course_026,data_wrangling,dropped,37.1,,2026-02-14
evt_000190,user_0058,course_035,data_visualization,completed,92.2,64.6,2026-02-18
evt_000191,user_0059,course_002,python_basics,completed,95.0,49.2,2026-02-09
evt_000192,user_0059,course_013,statistics,completed,95.6,40.1,2026-02-18
evt_000193,user_0059,course_025,data_wrangling,completed,92.6,72.2,2026-02-04
evt_000194,user_0059,course_036,data_visualization,completed,86.7,48.4,2026-03-18
evt_000195,user_0059,course_037,machine_learning,completed,85.8,43.6,2026-03-27
evt_000196,user_0060,course_007,html_css_basics,completed,97.1,82.0,2026-02-08
evt_000197,user_0060,course_019,javascript_basics,completed,86.1,62.5,2026-02-20
evt_000198,user_0060,course_029,react_basics,completed,92.1,53.7,2026-02-22
evt_000199,user_0060,course_039,state_management,completed,95.9,97.6,2026-03-07
evt_000200,user_0060,course_042,frontend_testing,completed,98.6,59.4,2026-03-15
evt_000201,user_0062,course_002,python_basics,completed,93.1,69.4,2026-02-02
evt_000202,user_0062,course_013,statistics,dropped,5.8,,2026-03-16
evt_000203,user_0062,course_026,data_wrangling,completed,88.4,64.9,2026-03-25
evt_000204,user_0062,course_035,data_visualization,completed,85.5,77.9,2026-04-09
evt_000205,user_0062,course_037,machine_learning,completed,86.5,37.2,2026-04-13
evt_000206,user_0063,course_007,html_css_basics,completed,91.0,50.2,2026-02-15
evt_000207,user_0063,course_019,javascript_basics,completed,89.3,88.0,2026-02-18
evt_000208,user_0063,course_030,react_basics,completed,95.1,55.8,2026-02-28
evt_000209,user_0063,course_039,state_management,completed,91.2,52.9,2026-03-11
evt_000210,user_0063,course_041,frontend_testing,completed,93.3,38.0,2026-03-22
evt_000211,user_0065,course_002,python_basics,completed,87.2,59.5,2026-02-27
evt_000212,user_0065,course_006,sql_basics,completed,89.5,81.0,2026-02-03
evt_000213,user_0065,course_015,rest_apis,completed,91.2,69.4,2026-03-12
evt_000214,user_0065,course_018,databases_basics,completed,86.2,64.2,2026-03-16
evt_000215,user_0065,course_031,system_design,completed,95.1,74.2,2026-03-17
evt_000216,user_0066,course_007,html_css_basics,completed,98.6,54.7,2026-01-21
evt_000217,user_0068,course_002,python_basics,completed,95.6,60.8,2026-02-24
evt_000218,user_0068,course_014,statistics,completed,92.0,77.2,2026-03-09
evt_000219,user_0068,course_026,data_wrangling,completed,92.0,87.2,2026-03-18
evt_000220,user_0068,course_036,data_visualization,completed,91.2,71.6,2026-03-22
evt_000221,user_0068,course_037,machine_learning,completed,99.0,72.6,2026-03-23
evt_000222,user_0069,course_001,python_basics,completed,93.5,51.0,2026-02-05
evt_000223,user_0069,course_014,statistics,completed,92.3,82.0,2026-02-10
evt_000224,user_0069,course_026,data_wrangling,completed,90.3,44.1,2026-02-13
evt_000225,user_0069,course_035,data_visualization,completed,99.4,69.1,2026-02-22
evt_000226,user_0069,course_037,machine_learning,completed,96.5,61.8,2026-03-08
evt_000227,user_0070,course_001,python_basics,completed,88.3,64.6,2026-03-10
evt_000228,user_0070,course_010,docker_basics,completed,85.1,70.9,2026-03-21
evt_000229,user_0070,course_014,statistics,completed,85.3,87.9,2026-03-02
evt_000230,user_0070,course_023,cloud_aws_basics,completed,92.9,50.7,2026-03-04
evt_000231,user_0070,course_026,data_wrangling,completed,96.9,40.1,2026-04-18
evt_000232,user_0071,course_001,python_basics,completed,97.7,77.5,2026-02-07
evt_000233,user_0072,course_002,python_basics,completed,92.1,76.4,2026-02-28
evt_000234,user_0072,course_009,docker_basics,completed,94.7,56.5,2026-03-08
evt_000235,user_0074,course_001,python_basics,completed,93.5,52.6,2026-03-17
evt_000236,user_0076,course_001,python_basics,completed,89.7,97.5,2026-03-05
evt_000237,user_0076,course_006,sql_basics,completed,93.5,71.8,2026-03-07
evt_000238,user_0076,course_016,rest_apis,completed,87.1,99.3,2026-03-14
evt_000239,user_0076,course_018,databases_basics,dropped,13.1,,2026-03-15
evt_000240,user_0076,course_032,system_design,completed,94.5,85.9,2026-03-28
evt_000241,user_0076,course_033,backend_frameworks,completed,90.6,47.1,2026-03-06
evt_000242,user_0077,course_001,python_basics,completed,97.0,81.4,2026-02-23
evt_000243,user_0077,course_009,docker_basics,completed,94.5,83.1,2026-02-02
evt_000244,user_0077,course_013,statistics,dropped,15.8,,2026-02-04
evt_000245,user_0077,course_024,cloud_aws_basics,dropped,11.6,,2026-03-06
evt_000246,user_0077,course_026,data_wrangling,dropped,17.4,,2026-03-08
evt_000247,user_0077,course_038,machine_learning,completed,89.4,60.2,2026-03-22
evt_000248,user_0077,course_047,mlops_basics,completed,95.3,46.0,2026-03-04
evt_000249,user_0078,course_002,python_basics,dropped,20.2,,2026-01-21
evt_000250,user_0078,course_014,statistics,dropped,13.8,,2026-02-06
evt_000251,user_0078,course_026,data_wrangling,completed,91.9,43.8,2026-02-16
evt_000252,user_0078,course_036,data_visualization,completed,90.7,91.0,2026-02-22
evt_000253,user_0078,course_038,machine_learning,completed,94.8,73.6,2026-03-08
evt_000254,user_0079,course_001,python_basics,completed,99.5,98.0,2026-01-28
evt_000255,user_0079,course_010,docker_basics,completed,89.9,53.2,2026-02-10
evt_000256,user_0079,course_014,statistics,completed,88.0,99.8,2026-02-12
evt_000257,user_0079,course_023,cloud_aws_basics,completed,95.6,63.5,2026-02-24
evt_000258,user_0079,course_025,data_wrangling,completed,96.9,78.7,2026-03-10
evt_000259,user_0079,course_038,machine_learning,completed,87.3,62.5,2026-03-14
evt_000260,user_0079,course_048,mlops_basics,completed,91.0,67.9,2026-03-24
evt_000261,user_0081,course_002,python_basics,completed,93.1,76.5,2026-02-11
evt_000262,user_0081,course_009,docker_basics,completed,87.5,74.8,2026-02-22
evt_000263,user_0081,course_014,statistics,completed,96.9,41.9,2026-03-07
evt_000264,user_0081,course_023,cloud_aws_basics,completed,93.4,79.7,2026-03-16
evt_000265,user_0081,course_026,data_wrangling,completed,95.2,79.9,2026-03-23
evt_000266,user_0081,course_037,machine_learning,dropped,19.6,,2026-03-03
evt_000267,user_0082,course_001,python_basics,completed,91.8,48.4,2026-01-14
evt_000268,user_0082,course_006,sql_basics,completed,95.5,55.7,2026-01-16
evt_000269,user_0082,course_015,rest_apis,completed,94.7,79.0,2026-01-17
evt_000270,user_0082,course_017,databases_basics,completed,87.4,71.4,2026-01-26
evt_000271,user_0083,course_001,python_basics,completed,91.5,36.9,2026-01-18
evt_000272,user_0083,course_005,sql_basics,completed,90.8,80.8,2026-01-26
evt_000273,user_0083,course_015,rest_apis,dropped,35.5,,2026-02-08
evt_000274,user_0083,course_018,databases_basics,completed,88.9,91.1,2026-02-12
evt_000275,user_0083,course_032,system_design,completed,90.9,42.4,2026-02-22
evt_000276,user_0083,course_034,backend_frameworks,completed,95.1,87.0,2026-02-04
evt_000277,user_0084,course_007,html_css_basics,dropped,9.1,,2026-03-14
evt_000278,user_0084,course_019,javascript_basics,completed,92.7,62.2,2026-03-20
evt_000279,user_0084,course_030,react_basics,completed,94.5,80.1,2026-03-27
evt_000280,user_0084,course_039,state_management,completed,89.3,47.2,2026-04-08
evt_000281,user_0084,course_041,frontend_testing,completed,85.1,43.9,2026-04-22
evt_000282,user_0085,course_002,python_basics,completed,91.2,89.6,2026-02-04
evt_000283,user_0085,course_013,statistics,dropped,31.6,,2026-03-14
evt_000284,user_0085,course_026,data_wrangling,completed,87.5,64.7,2026-03-18
evt_000285,user_0085,course_036,data_visualization,completed,93.6,52.4,2026-03-27
evt_000286,user_0085,course_038,machine_learning,completed,85.6,81.7,2026-04-08
evt_000287,user_0086,course_002,python_basics,completed,94.8,51.1,2026-02-09
evt_000288,user_0087,course_008,html_css_basics,completed,91.6,99.6,2026-01-17
evt_000289,user_0087,course_019,javascript_basics,completed,93.8,57.8,2026-01-21
evt_000290,user_0087,course_030,react_basics,completed,96.8,87.9,2026-01-24
evt_000291,user_0087,course_040,state_management,completed,93.1,56.0,2026-02-05
evt_000292,user_0087,course_042,frontend_testing,completed,97.9,99.1,2026-02-15
evt_000293,user_0088,course_007,html_css_basics,completed,98.8,99.5,2026-02-01
evt_000294,user_0089,course_001,python_basics,dropped,16.3,,2026-01-13
evt_000295,user_0089,course_014,statistics,dropped,27.1,,2026-01-21
evt_000296,user_0089,course_026,data_wrangling,dropped,32.8,,2026-01-01
evt_000297,user_0089,course_036,data_visualization,completed,95.4,92.0,2026-02-10
evt_000298,user_0089,course_038,machine_learning,completed,98.0,90.1,2026-02-16
evt_000299,user_0090,course_002,python_basics,completed,90.4,39.1,2026-01-17
evt_000300,user_0090,course_009,docker_basics,completed,92.4,56.0,2026-01-24
evt_000301,user_0090,course_013,statistics,completed,96.8,93.1,2026-02-06
evt_000302,user_0090,course_023,cloud_aws_basics,completed,97.6,36.1,2026-02-08
evt_000303,user_0091,course_001,python_basics,completed,95.3,43.6,2026-01-18
evt_000304,user_0091,course_005,sql_basics,completed,89.1,77.5,2026-02-04
evt_000305,user_0091,course_016,rest_apis,completed,87.5,60.8,2026-02-15
evt_000306,user_0091,course_017,databases_basics,completed,95.6,35.1,2026-02-22
evt_000307,user_0091,course_031,system_design,completed,95.2,35.6,2026-02-04
evt_000308,user_0091,course_033,backend_frameworks,completed,87.0,39.6,2026-03-18
evt_000309,user_0092,course_001,python_basics,completed,98.2,43.9,2026-01-27
evt_000310,user_0092,course_009,docker_basics,completed,87.1,69.5,2026-02-10
evt_000311,user_0092,course_013,statistics,completed,88.2,83.6,2026-02-18
evt_000312,user_0093,course_001,python_basics,completed,87.1,43.0,2026-02-14
evt_000313,user_0093,course_014,statistics,completed,87.1,53.0,2026-02-21
evt_000314,user_0093,course_026,data_wrangling,completed,85.4,90.1,2026-03-06
evt_000315,user_0094,course_001,python_basics,completed,94.7,85.9,2026-01-26
evt_000316,user_0094,course_013,statistics,completed,88.6,76.5,2026-02-06
evt_000317,user_0094,course_025,data_wrangling,completed,87.0,91.0,2026-02-12
evt_000318,user_0094,course_036,data_visualization,completed,96.4,97.0,2026-02-21
evt_000319,user_0094,course_037,machine_learning,dropped,14.2,,2026-02-03
evt_000320,user_0096,course_002,python_basics,completed,96.5,62.5,2026-03-16
evt_000321,user_0096,course_005,sql_basics,dropped,7.8,,2026-03-21
evt_000322,user_0097,course_002,python_basics,completed,96.4,77.2,2026-02-03
evt_000323,user_0097,course_010,docker_basics,completed,99.3,50.5,2026-03-15
evt_000324,user_0097,course_014,statistics,completed,94.1,55.1,2026-03-17
evt_000325,user_0097,course_023,cloud_aws_basics,dropped,9.8,,2026-03-19
evt_000326,user_0097,course_026,data_wrangling,completed,96.7,81.8,2026-03-25
evt_000327,user_0097,course_037,machine_learning,completed,89.0,92.6,2026-04-09
evt_000328,user_0097,course_047,mlops_basics,completed,89.1,39.2,2026-04-15
evt_000329,user_0099,course_002,python_basics,completed,92.5,71.8,2026-02-22
evt_000330,user_0099,course_010,docker_basics,dropped,25.1,,2026-03-07
evt_000331,user_0099,course_013,statistics,completed,85.7,91.1,2026-03-19
evt_000332,user_0099,course_024,cloud_aws_basics,completed,87.3,95.5,2026-03-25
evt_000333,user_0100,course_008,html_css_basics,completed,91.2,81.8,2026-02-12
evt_000334,user_0100,course_019,javascript_basics,completed,92.5,93.6,2026-02-22
evt_000335,user_0100,course_029,react_basics,dropped,21.3,,2026-02-01
evt_000336,user_0100,course_040,state_management,dropped,21.0,,2026-03-07
evt_000337,user_0100,course_042,frontend_testing,completed,96.1,50.8,2026-03-17
evt_000338,user_0101,course_002,python_basics,completed,96.0,70.5,2026-02-09
evt_000339,user_0101,course_009,docker_basics,completed,85.4,70.2,2026-02-10
evt_000340,user_0101,course_013,statistics,dropped,28.0,,2026-02-16
evt_000341,user_0101,course_024,cloud_aws_basics,completed,99.7,62.3,2026-02-18
evt_000342,user_0102,course_001,python_basics,completed,98.5,68.8,2026-01-11
evt_000343,user_0102,course_014,statistics,completed,86.3,41.2,2026-01-19
evt_000344,user_0102,course_026,data_wrangling,completed,85.9,78.1,2026-01-21
evt_000345,user_0102,course_036,data_visualization,completed,98.9,60.5,2026-01-26
evt_000346,user_0102,course_038,machine_learning,completed,88.5,96.3,2026-02-04
evt_000347,user_0103,course_007,html_css_basics,dropped,20.7,,2026-01-12
evt_000348,user_0103,course_019,javascript_basics,completed,96.6,64.4,2026-01-21
evt_000349,user_0103,course_029,react_basics,completed,95.3,88.7,2026-01-23
evt_000350,user_0103,course_039,state_management,completed,89.9,40.9,2026-01-27
evt_000351,user_0103,course_042,frontend_testing,completed,95.2,51.9,2026-02-06
evt_000352,user_0104,course_008,html_css_basics,completed,96.2,51.2,2026-01-26
evt_000353,user_0104,course_019,javascript_basics,dropped,34.1,,2026-01-28
evt_000354,user_0105,course_002,python_basics,completed,99.1,40.5,2026-01-15
evt_000355,user_0105,course_009,docker_basics,completed,88.0,77.0,2026-01-16
evt_000356,user_0105,course_013,statistics,completed,90.0,37.8,2026-01-02
evt_000357,user_0105,course_023,cloud_aws_basics,completed,95.9,67.2,2026-02-12
evt_000358,user_0105,course_026,data_wrangling,completed,98.6,52.9,2026-02-15
evt_000359,user_0105,course_037,machine_learning,completed,94.3,77.1,2026-02-16
evt_000360,user_0105,course_048,mlops_basics,dropped,18.4,,2026-02-17
